,image,description,AUTHOR,BORN-DIED,TITLE,DATE,TECHNIQUE,LOCATION,FORM,TYPE,SCHOOL,TIMEFRAME,removed
228,https://www.wga.hu/detail/a/agostin/1rimini/6libera1.jpg,['\r\nThe picture shows the Muse of Dance.\r\n\r\n\n'],AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Cappella delle Arti Liberali (detail),1449-56,Photo,"Tempio Malatestiano, Rimini",sculpture,religious,Italian,1451-1500,The picture shows the Muse of Dance.
229,https://www.wga.hu/detail/a/agostin/1rimini/6libera2.jpg,['\r\nThe picture shows the Muse of Poetry (Apollo).\r\n\r\n\n'],AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Cappella delle Arti Liberali (detail),1449-56,Photo,"Tempio Malatestiano, Rimini",sculpture,religious,Italian,1451-1500,The picture shows the Muse of Poetry (Apollo).
230,https://www.wga.hu/detail/a/agostin/1rimini/6libera3.jpg,['\r\nThe picture shows the Muse of History.\r\n\r\n\n'],AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Cappella delle Arti Liberali (detail),1449-56,Photo,"Tempio Malatestiano, Rimini",sculpture,religious,Italian,1451-1500,The picture shows the Muse of History.
231,https://www.wga.hu/detail/a/agostin/1rimini/6libera4.jpg,['\r\nThe picture shows the Muse of Poetry (Apollo).\r\n\r\n\n'],AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Cappella delle Arti Liberali (detail),1449-56,Photo,"Tempio Malatestiano, Rimini",sculpture,religious,Italian,1451-1500,The picture shows the Muse of Poetry (Apollo).
246,https://www.wga.hu/detail/a/agostin/3various/dossal3.jpg,['\r\nThe detail shows the Virgin Annunciate.\r\n\r\n\n'],AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Dossal (detail),1459,Painted stone and terracotta,"San Domenico, Perugia",sculpture,religious,Italian,1451-1500,The detail shows the Virgin Annunciate.
248,https://www.wga.hu/detail/a/agostin/3various/dossal5.jpg,['\r\nThe detail shows the statue of St Lawrence.\r\n\r\n\n'],AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",Dossal (detail),1459,Painted stone and terracotta,"San Domenico, Perugia",sculpture,religious,Italian,1451-1500,The detail shows the statue of St Lawrence.
329,https://www.wga.hu/detail/a/alberti/ruccelak.jpg,['\r\nThe picture shows a detail of the wall base.\r\n\r\n\n'],"ALBERTI, Leon Battista","(b. 1404, Genova, d. 1472, Roma)",Palazzo Ruccelai: Façade (detail),1446-51,Photo,"Via della Vigna Nuova, Florence",architecture,other,Italian,1401-1450,The picture shows a detail of the wall base.
550,https://www.wga.hu/detail/a/alvares/porto2.jpg,['\r\nThe picture shows the façade of the church.\r\n\r\n\n'],"ÁLVARES, Baltasar","(active 1570, died 1624)",Exterior view,1622,Photo,"Nossa Senhora dos Grilos, Porto",architecture,other,Portuguese,1601-1650,The picture shows the façade of the church.
564,https://www.wga.hu/detail/a/amadeo/bergamo/interio3.jpg,['\r\nThe detail shows the upper sarcophagus.\r\n\r\n\n'],"AMADEO, Giovanni Antonio","(b. ca. 1447, Pavia, d. 1522, Milano)",Funerary Monument of Bartolomeo Colleoni (detail),1472-76,Marble,"Cappella Colleoni, Bergamo",sculpture,religious,Italian,1451-1500,The detail shows the upper sarcophagus.
576,https://www.wga.hu/detail/a/amadeo/pavia/facade6.jpg,['\r\nThe detail shows St Martin and other saints.\r\n\r\n\n'],"AMADEO, Giovanni Antonio","(b. ca. 1447, Pavia, d. 1522, Milano)",Detail of the façade,1490s,Marble,"Certosa, Pavia",sculpture,other,Italian,1451-1500,The detail shows St Martin and other saints.
603,https://www.wga.hu/detail/a/amendola/venus.jpg,['\r\nThe statue is signed: G.B. Amendola.\r\n\r\n\n'],"AMENDOLA, Giovanni Battista","(b. 1848, Episcopio di Sarno, d. 1887, Napoli)",Venus,-,"Bronze, golden brown and dark brown patina, height 87 cm",Private collection,sculpture,mythological,Italian,1851-1900,The statue is signed: G.B. Amendola.
604,https://www.wga.hu/detail/a/amendola/wedded.jpg,['\r\nThe statue is signed: G.B. Amendola.\r\n\r\n\n'],"AMENDOLA, Giovanni Battista","(b. 1848, Episcopio di Sarno, d. 1887, Napoli)",The Wedded,-,"Bronze, golden brown and gilt patina, height 74 cm",Private collection,sculpture,genre,Italian,1851-1900,The statue is signed: G.B. Amendola.
648,https://www.wga.hu/detail/a/ammanati/2/buoncom3.jpg,['\r\nThe picture shows the figure of Peace.\r\n\r\n\n'],"AMMANATI, Bartolomeo","(b. 1511, Settignano, d. 1592, Firenze)",Tomb of Giovanni Buoncompagni (detail),1574,Marble,"Camposanto, Pisa",sculpture,religious,Italian,1551-1600,The picture shows the figure of Peace.
649,https://www.wga.hu/detail/a/ammanati/2/buoncom4.jpg,['\r\nThe picture shows the figure of Justice.\r\n\r\n\n'],"AMMANATI, Bartolomeo","(b. 1511, Settignano, d. 1592, Firenze)",Tomb of Giovanni Buoncompagni (detail),1574,Marble,"Camposanto, Pisa",sculpture,religious,Italian,1551-1600,The picture shows the figure of Justice.
726,https://www.wga.hu/detail/a/andrea/firenze/various/10saint2.jpg,['\r\nThe detail shows Sts Mark and Peter Martyr.\r\n\r\n\n'],ANDREA DA FIRENZE,"(active 1343-1377, Firenze)",The Virgin and Child with Ten Saints (detail),1365-70,Egg tempera on wood,"National Gallery, London",painting,religious,Italian,1351-1400,The detail shows Sts Mark and Peter Martyr.
757,https://www.wga.hu/detail/a/andrea/castagno/1_1440s/08lasts6.jpg,['\r\nThe detail shows the figure of St Thomas.\r\n\r\n\n'],ANDREA DEL CASTAGNO,"(b. 1423, Castagno, d. 1457, Firenze)",Last Supper (detail),1447,Fresco,"Sant'Apollonia, Florence",painting,religious,Italian,1401-1450,The detail shows the figure of St Thomas.
758,https://www.wga.hu/detail/a/andrea/castagno/1_1440s/08lasts7.jpg,['\r\nThe detail shows the figure of St Simon.\r\n\r\n\n'],ANDREA DEL CASTAGNO,"(b. 1423, Castagno, d. 1457, Firenze)",Last Supper (detail),1447,Fresco,"Sant'Apollonia, Florence",painting,religious,Italian,1401-1450,The detail shows the figure of St Simon.
818,https://www.wga.hu/detail/a/andrea/sarto/2/lastsup1.jpg,['\r\nThe picture shows the central part of the fresco.\r\n\r\n\n'],ANDREA DEL SARTO,"(b. 1486, Firenze, d. 1530, Firenze)",The Last Supper (detail),1520-25,Fresco,"Convent of San Salvi, Florence",painting,religious,Italian,1501-1550,The picture shows the central part of the fresco.
819,https://www.wga.hu/detail/a/andrea/sarto/2/lastsup2.jpg,['\r\nThe the picture shows the left side of the fresco.\r\n\r\n\n'],ANDREA DEL SARTO,"(b. 1486, Firenze, d. 1530, Firenze)",The Last Supper (detail),1520-25,Fresco,"Convent of San Salvi, Florence",painting,religious,Italian,1501-1550,The the picture shows the left side of the fresco.
834,https://www.wga.hu/detail/a/andrea/sarto/3/madglorz.jpg,['\r\nThe detail represents the figure of St Roch.\r\n\r\n\n'],ANDREA DEL SARTO,"(b. 1486, Firenze, d. 1530, Firenze)",Virgin and Child in Glory with Six Saints (detail),c. 1528,Oil on wood,"Galleria Palatina (Palazzo Pitti), Florence",painting,religious,Italian,1501-1550,The detail represents the figure of St Roch.
932,https://www.wga.hu/detail/a/angelico/01/5prado1.jpg,['\r\nThe picture shows a detail of the predella.\r\n\r\n\n'],"ANGELICO, Fra","(b. ca. 1400, Vicchio nell Mugello, d. 1455, Roma)",The Annunciation (detail),1430-32,Tempera on wood,"Museo del Prado, Madrid",painting,religious,Italian,1401-1450,The picture shows a detail of the predella.
933,https://www.wga.hu/detail/a/angelico/01/5prado2.jpg,['\r\nThe picture shows a detail of the predella.\r\n\r\n\n'],"ANGELICO, Fra","(b. ca. 1400, Vicchio nell Mugello, d. 1455, Roma)",The Annunciation (detail),1430-32,Tempera on wood,"Museo del Prado, Madrid",painting,religious,Italian,1401-1450,The picture shows a detail of the predella.
944,https://www.wga.hu/detail/a/angelico/03/lastjud2.jpg,['\r\nThis is the left view of the panel.\r\n\r\n\n'],"ANGELICO, Fra","(b. ca. 1400, Vicchio nell Mugello, d. 1455, Roma)",Last Judgment (detail),c. 1431,Tempera on panel,"Museo di San Marco, Florence",painting,religious,Italian,1401-1450,This is the left view of the panel.
945,https://www.wga.hu/detail/a/angelico/03/lastjud4.jpg,['\r\nThis detail is from the right side of the panel.\r\n\r\n\n'],"ANGELICO, Fra","(b. ca. 1400, Vicchio nell Mugello, d. 1455, Roma)",Last Judgment (detail),c. 1431,Tempera on panel,"Museo di San Marco, Florence",painting,religious,Italian,1401-1450,This detail is from the right side of the panel.
1028,https://www.wga.hu/detail/a/angelico/09/corridor/annunci1.jpg,['\r\nThe detail represents the Virgin Annunciate.\r\n\r\n\n'],"ANGELICO, Fra","(b. ca. 1400, Vicchio nell Mugello, d. 1455, Roma)",The Annunciation (detail),1442-43,Fresco,"Convento di San Marco, Florence",painting,religious,Italian,1401-1450,The detail represents the Virgin Annunciate.
1029,https://www.wga.hu/detail/a/angelico/09/corridor/annunci2.jpg,['\r\nThe detail represents the Archangel Gabriel.\r\n\r\n\n'],"ANGELICO, Fra","(b. ca. 1400, Vicchio nell Mugello, d. 1455, Roma)",The Annunciation (detail),1442-43,Fresco,"Convento di San Marco, Florence",painting,religious,Italian,1401-1450,The detail represents the Archangel Gabriel.
1195,https://www.wga.hu/detail/a/antelami/09septem.jpg,['\r\nSeptember is illustrated by the grape harvest.\r\n\r\n\n'],"ANTELAMI, Benedetto",(active 1170-1230 in Parma),September,c. 1200,Stone,"Baptistery, Parma",sculpture,mythological,Italian,1151-1200,September is illustrated by the grape harvest.
1250,https://www.wga.hu/detail/a/antonel/gaudenz2.jpg,['\r\nThe photo shows a view into the dome.\r\n\r\n\n'],"ANTONELLI, Alessandro","(b. 1798, Ghemme, d. 1788, Maggiora)",Interior view,1841,Photo,"San Gaudenzio, Novara",architecture,interior,Italian,1751-1800,The photo shows a view into the dome.
1363,https://www.wga.hu/detail/zzzarchi/06c/3/4mausol3.jpg,['\r\nThe photo shows the upper part of the building.\r\n\r\n\n'],"ARCHITECT, Byzantine",(active 520s in Ravenna),Exterior view,c. 526,Photo,"Mausoleum of Theodoric, Ravenna",architecture,religious,Other,0501-0550,The photo shows the upper part of the building.
1367,https://www.wga.hu/detail/zzzarchi/06c/3/4mausol7.jpg,['\r\nThe photo shows the interior of the dome.\r\n\r\n\n'],"ARCHITECT, Byzantine",(active 520s in Ravenna),Interior view,c. 526,Photo,"Mausoleum of Theodoric, Ravenna",architecture,religious,Other,0501-0550,The photo shows the interior of the dome.
1373,https://www.wga.hu/detail/zzzarchi/06c/6/1sophia6.jpg,['\r\nThe photo shows the interior of the dome.\r\n\r\n\n'],"ARCHITECT, Byzantine",(active 537-562 in Constantinople),Interior view,537-562,Photo,"Hagia Sophia, Istanbul",architecture,religious,Other,0501-0550,The photo shows the interior of the dome.
1375,https://www.wga.hu/detail/zzzarchi/06c/6/1sophia8.jpg,['\r\nThe photo shows the interior of the massive dome.\r\n\r\n\n'],"ARCHITECT, Byzantine",(active 530s in Constantinople),Interior view,532-37,Photo,"Hagia Sophia, Istanbul",architecture,religious,Other,0501-0550,The photo shows the interior of the massive dome.
1376,https://www.wga.hu/detail/zzzarchi/06c/6/1sophia9.jpg,['\r\nView the ground plan of the building.\r\n\r\n\n'],"ARCHITECT, Byzantine",(active 530s in Constantinople),Interior view,532-37,Photo,"Hagia Sophia, Istanbul",architecture,religious,Other,0501-0550,View the ground plan of the building.
1377,https://www.wga.hu/detail/zzzarchi/06c/6/1sophib1.jpg,['\r\nView the ground plan of the building.\r\n\r\n\n'],"ARCHITECT, Byzantine",(active 530s in Constantinople),Interior view,532-37,Photo,"Hagia Sophia, Istanbul",architecture,religious,Other,0501-0550,View the ground plan of the building.
1521,https://www.wga.hu/detail/zzzarchi/13c/4/1lincol9a.jpg,['\r\nThe photo shows the interior of the Angel Choir.\r\n\r\n\n'],"ARCHITECT, English",(active 1270s in Lincoln),Interior view,1270s,Photo,"Cathedral, Lincoln",architecture,other,English,1251-1300,The photo shows the interior of the Angel Choir.
1541,https://www.wga.hu/detail/zzzarchi/13c/4/3wells25.jpg,['\r\nThe photo shows the steps to the chapter house.\r\n\r\n\n'],"ARCHITECT, English",(active 1290s in Wells),Interior view,1290s,Photo,"Cathedral, Wells, Somerset",architecture,interior,English,1251-1300,The photo shows the steps to the chapter house.
1699,https://www.wga.hu/detail/zzzarchi/07c/2/1poitie5.jpg,['\r\nThe photo shows a detail of the south façade.\r\n\r\n\n'],"ARCHITECT, French",(active 7th century in Poitiers),Exterior view,674-96,Photo,"Baptistère Saint-Jean, Poitiers",architecture,religious,French,0651-0700,The photo shows a detail of the south façade.
1746,https://www.wga.hu/detail/zzzarchi/11c/2/18f_1003.jpg,['\r\nThe photo shows a view of the vault.\r\n\r\n\n'],"ARCHITECT, French",(active 1088-1130 in Cluny),Interior view,1088-1130,Photo,"Saint-Pierre-et-Paul (Cluny III), Cluny (Saône-et-Loire)",architecture,other,French,1051-1100,The photo shows a view of the vault.
1771,https://www.wga.hu/detail/zzzarchi/12c/2/1/04f_1102.jpg,['\r\nThe photo shows the kitchen quarters.\r\n\r\n\n'],"ARCHITECT, French",(active 12th century in Pays-de-la-Loire),Exterior view,12th century,Photo,Fontevraud Abbey (Maine-et-Loire),architecture,other,French,1101-1150,The photo shows the kitchen quarters.
1885,https://www.wga.hu/detail/zzzarchi/12c/2/3/14f_1151.jpg,['\r\nThe photo shows a view from north-east.\r\n\r\n\n'],"ARCHITECT, French",(active late 12th century in Midi-Pyrénées),Exterior view,c. 1200,Photo,"Saint-Juste, Valcabrère (Haute-Garonne)",architecture,religious,French,1151-1200,The photo shows a view from north-east.
1916,https://www.wga.hu/detail/zzzarchi/13c/2/1/03f_1205.jpg,['\r\nThe photo shows the choir.\r\n\r\n\n'],"ARCHITECT, French",(active 1194-1260 in Chartres),Exterior view,begun after 1194,Photo,"Cathedral of Notre-Dame, Chartres (Eure-et-Loir)",architecture,religious,French,1201-1250,The photo shows the choir.
1917,https://www.wga.hu/detail/zzzarchi/13c/2/1/03f_1206.jpg,['\r\nThe photo shows the south side of the nave.\r\n\r\n\n'],"ARCHITECT, French",(active 1194-1260 in Chartres),Exterior view,begun after 1194,Photo,"Cathedral of Notre-Dame, Chartres (Eure-et-Loir)",architecture,religious,French,1201-1250,The photo shows the south side of the nave.
1919,https://www.wga.hu/detail/zzzarchi/13c/2/1/03f_1208.jpg,['\r\nThe photo shows the ambulatory.\r\n\r\n\n'],"ARCHITECT, French",(active 1194-1260 in Chartres),Interior view,begun after 1194,Photo,"Cathedral of Notre-Dame, Chartres (Eure-et-Loir)",architecture,interior,French,1201-1250,The photo shows the ambulatory.
1924,https://www.wga.hu/detail/zzzarchi/13c/2/1/04f_1206.jpg,['\r\nThe photo shows the vault at the crossing.\r\n\r\n\n'],"ARCHITECT, French",(active around 1220-1288 in Picardy),Interior view,begun 1220,Photo,"Cathedral of Notre-Dame, Amiens (Somme)",architecture,other,French,1201-1250,The photo shows the vault at the crossing.
2002,https://www.wga.hu/detail/zzzarchi/13c/2/2/58f_1252.jpg,['\r\nThe photo shows the choir and transept.\r\n\r\n\n'],"ARCHITECT, French",(active around 1280 in Languedoc),Exterior view,c. 1280,Photo,"Saint-Nazaire, Carcassonne (Aude)",architecture,religious,French,1251-1300,The photo shows the choir and transept.
2092,https://www.wga.hu/detail/zzzarchi/16c/2/10f_1500.jpg,['\r\nThe photo shows the south side of the church.\r\n\r\n\n'],"ARCHITECT, French",(active 1530s in Paris),Exterior view,1537-38,Photo,"Saint-Eustache, Paris",architecture,other,French,1501-1550,The photo shows the south side of the church.
2155,https://www.wga.hu/detail/zzzarchi/11c/1/03g_1003.jpg,"['\r\nView the ground plan of St. Michael, Hildesheim.\r\n\r\n\n']","ARCHITECT, German",(active 1010-1033 in Hildesheim),View of the nave looking east,1010-33,Photo,"St. Michael, Hildesheim",architecture,religious,German,1001-1050,"View the ground plan of St. Michael, Hildesheim."
2207,https://www.wga.hu/detail/zzzarchi/12c/1/20g_1152.jpg,['\r\nThe photo shows the east side of the cathedral.\r\n\r\n\n'],"ARCHITECT, German",(active 1190s in Worms),Exterior view,1190s,Photo,"St. Peter Cathedral, Worms",architecture,other,German,1151-1200,The photo shows the east side of the cathedral.
2209,https://www.wga.hu/detail/zzzarchi/12c/1/20g_1154.jpg,['\r\nThe photo shows the south side of the cathedral.\r\n\r\n\n'],"ARCHITECT, German",(active 1190s in Worms),Exterior view,1190s,Photo,"St. Peter Cathedral, Worms",architecture,other,German,1151-1200,The photo shows the south side of the cathedral.
2239,https://www.wga.hu/detail/zzzarchi/13c/1/20g_1253.jpg,['\r\nThe photo shows a view from northeast.\r\n\r\n\n'],"ARCHITECT, German",(active 13th century in Cologne),Exterior view,begun 1248,Photo,"Cathedral, Cologne",architecture,religious,German,1251-1300,The photo shows a view from northeast.
2242,https://www.wga.hu/detail/zzzarchi/13c/1/20g_1259.jpg,['\r\nThe photo shows the choir.\r\n\r\n\n'],"ARCHITECT, German",(active 13th century in Cologne),Interior view,begun 1248,Photo,"Cathedral, Cologne",architecture,other,German,1251-1300,The photo shows the choir.
2268,https://www.wga.hu/detail/zzzarchi/14c/1/02g_1301.jpg,['\r\nThe photo shows the exterior of the choir.\r\n\r\n\n'],"ARCHITECT, German",(active around 1331 in North Rhine-Westphalia),Exterior view,c. 1331,Photo,"Wiesenkirche, Soest",architecture,religious,German,1301-1350,The photo shows the exterior of the choir.
2336,https://www.wga.hu/detail/zzzarchi/16c/1/02g_1526.jpg,['\r\nThe photo shows the ceiling of the nave.\r\n\r\n\n'],"ARCHITECT, German",(active 1529-1554 in Halle),Interior view,1529-54,Photo,"Marktkirche, Halle",architecture,interior,German,1501-1550,The photo shows the ceiling of the nave.
2359,https://www.wga.hu/detail/zzzarchi/17c/1/04g_1652.jpg,['\r\nThe photo shows the doorway of the church.\r\n\r\n\n'],"ARCHITECT, German",(active 1690s in Hesse),Exterior view,c. 1699,Photo,"Evangelical church, Büssfeld (Hesse)",architecture,other,German,1651-1700,The photo shows the doorway of the church.
2393,https://www.wga.hu/detail/zzzarchi/09c/4/cuthbert.jpg,['\r\nThe photo shows the ruins of the monastery.\r\n\r\n\n'],"ARCHITECT, Irish",(active 9th century in Ireland),Exterior view,9th century,Photo,"St Cuthbert Monastery, Holy Island",architecture,religious,Irish,0801-0850,The photo shows the ruins of the monastery.
2396,https://www.wga.hu/detail/zzzarchi/09c/4/gallaru3.jpg,['\r\nThe photo shows the back of the Oratory.\r\n\r\n\n'],"ARCHITECT, Irish",(active 9th century in Ireland),Exterior view,9th century,Photo,"Gallarus Oratory, Dingle Peninsula",architecture,religious,Irish,0801-0850,The photo shows the back of the Oratory.
2460,https://www.wga.hu/detail/zzzarchi/06c/3/3vitale8.jpg,['\r\nThe picture shows a view of the ambulatory.\r\n\r\n\n'],"ARCHITECT, Italian",(active 540s in Ravenna),Interior view,547,Photo,"San Vitale, Ravenna",architecture,religious,Italian,0501-0550,The picture shows a view of the ambulatory.
2461,https://www.wga.hu/detail/zzzarchi/06c/3/3vitale9.jpg,['\r\nThe photo shows the ambulatory.\r\n\r\n\n'],"ARCHITECT, Italian",(active 540s in Ravenna),Interior view,547,Photo,"San Vitale, Ravenna",architecture,other,Italian,0501-0550,The photo shows the ambulatory.
2521,https://www.wga.hu/detail/zzzarchi/12c/3/06i_1103.jpg,"['\r\nView the cross-section of the Cathedral, Pisa.\r\n\r\n\n']","ARCHITECT, Italian",(active 1063-1272 in Tuscany),Interior view,1063-1272,Photo,"Cathedral, Pisa (Tuscany)",architecture,religious,Italian,1101-1150,"View the cross-section of the Cathedral, Pisa."
2522,https://www.wga.hu/detail/zzzarchi/12c/3/06i_1103a.jpg,"['\r\nView the cross-section of the Cathedral, Pisa.\r\n\r\n\n']","ARCHITECT, Italian",(active 1063-1272 in Tuscany),Interior view,1063-1272,Photo,"Cathedral, Pisa (Tuscany)",architecture,interior,Italian,1151-1200,"View the cross-section of the Cathedral, Pisa."
2897,https://www.wga.hu/detail/zzzarchi/09c/5/oviedo1c.jpg,['\r\nThe photo shows the interior of the porticus.\r\n\r\n\n'],"ARCHITECT, Spanish",(active 842-850 in Oviedo),Interior view,842-50,Photo,"Palace auditorium, Monte Naranco, Oviedo",architecture,other,Spanish,0801-0850,The photo shows the interior of the porticus.
2902,https://www.wga.hu/detail/zzzarchi/09c/5/oviedo2b.jpg,['\r\nThe photo shows the side view.\r\n\r\n\n'],"ARCHITECT, Spanish",(active mid 9th century in Asturias),Exterior view,c. 850,Photo,"San Miguel de Lillo, Monte Naranco, Oviedo",architecture,religious,Spanish,0801-0850,The photo shows the side view.
3031,https://www.wga.hu/detail/zzzarchi/08c/5/3zamora3.jpg,['\r\nThe photo shows the view towards the apse.\r\n\r\n\n'],"ARCHITECT, Visigothic",(active c. 8th century in Zamora),Interior view,8th century,Photo,"San Pedro de la Nave, El Campillo (Zamora)",architecture,religious,Spanish,0701-0750,The photo shows the view towards the apse.
3032,https://www.wga.hu/detail/zzzarchi/08c/5/3zamora4.jpg,['\r\nThe photo shows the view towards the apse.\r\n\r\n\n'],"ARCHITECT, Visigothic",(active c. 8th century in Zamora),Interior view,8th century,Photo,"San Pedro de la Nave, El Campillo (Zamora)",architecture,religious,Spanish,0701-0750,The photo shows the view towards the apse.
3040,https://www.wga.hu/detail/a/arcimbol/1early/2window3.jpg,['\r\nThe detail represents the Daughters of Lot.\r\n\r\n\n'],"ARCIMBOLDO, Giuseppe","(b. 1526, Milano, d. 1593, Milano)",Scenes from the Old Testament (detail),1549,Stained glass window,"Cathedral, Milan",stained-glass,religious,Italian,1551-1600,The detail represents the Daughters of Lot.
3095,https://www.wga.hu/detail/a/arcimbol/5nature/042_029.jpg,['\r\nThis drawing is on folio 29r of Codex min. 42.\r\n\r\n\n'],"ARCIMBOLDO, Giuseppe","(b. 1526, Milano, d. 1593, Milano)",Study of a Lesser Kestrel and Flowers,-,Watercolour and gouache,"Österreichische Nationalbibliothek, Vienna",graphics,study,Italian,1551-1600,This drawing is on folio 29r of Codex min. 42.
3101,https://www.wga.hu/detail/a/arcimbol/5nature/042_046.jpg,['\r\nThis drawing is on folio 46r of Codex min. 42.\r\n\r\n\n'],"ARCIMBOLDO, Giuseppe","(b. 1526, Milano, d. 1593, Milano)",Study of a Helmeted Curassow,1571,Watercolour and gouache,"Österreichische Nationalbibliothek, Vienna",graphics,study,Italian,1551-1600,This drawing is on folio 46r of Codex min. 42.
3127,https://www.wga.hu/detail/a/arcimbol/7silk/silk08.jpg,['\r\nDrawing No. 8 shows the operation of drying.\r\n\r\n\n'],"ARCIMBOLDO, Giuseppe","(b. 1526, Milano, d. 1593, Milano)","Treatise on Silk Culture and Manufacture (Series of Thirteen Drawings, No. 8)",c. 1586,"Pen blue ink and blue wash on paper, 308 x 190 mm","Museum of Fine Arts, Boston",graphics,other,Italian,1551-1600,Drawing No. 8 shows the operation of drying.
3129,https://www.wga.hu/detail/a/arcimbol/7silk/silk10.jpg,['\r\nDrawing No. 10 shows the skeins of raw silk.\r\n\r\n\n'],"ARCIMBOLDO, Giuseppe","(b. 1526, Milano, d. 1593, Milano)","Treatise on Silk Culture and Manufacture (Series of Thirteen Drawings, No. 10)",c. 1586,"Pen blue ink and blue wash on paper, 308 x 190 mm","Museum of Fine Arts, Boston",graphics,other,Italian,1551-1600,Drawing No. 10 shows the skeins of raw silk.
